point_id,easting_m,northing_m,elev_m,feature,note
1,,,,ST1,
2,66274.54,51185.47,1681.05,R1,
3,66192.23,51098.19,1682,C1,
4,66271.99,51190.55,1680.22,C1,
5,66272.36,51188.57,1680.31,C1,
6,66271.81,51187.27,1680.42,C1,
7,66271.29,51186.1,1680.6,C1,
8,66270.62,51184.91,1680.74,C1,
9,66270.1,51183.81,1680.91,C1,
10,66268.75,51182.4,1681.1,C1,
11,66267.28,51180.93,1681.21,C1,
12,66266.25,51179.99,1681.3,C1,
13,66264.98,51179.09,1681.44,C1,
14,66260.92,51175.96,1681.73,C1,
15,66256.28,51172.56,1681.98,C1,
16,66251.94,51169.62,1682.18,C1,
17,66248.39,51167.02,1682.34,C1,
18,66244.99,51164.55,1682.51,C1,
19,66240.84,51161.68,1682.71,C1,
20,66238.47,51160.24,1682.85,C1,
21,66234.42,51157.74,1683.05,C1,
22,66231.94,51156.15,1683.16,C1,
23,66228.5,51153.71,1683.3,C1,
24,66223.73,51150.55,1683.43,C1,
25,66219.27,51147.71,1683.49,C1,
26,66215.42,51145.64,1683.52,C1,
27,66210.11,51142.85,1683.38,C1,
28,66207.56,51141.17,1683.23,C1,
29,66204.71,51139.27,1683.16,C1,
30,66269.38,51189.69,1680.07,L1,
31,66267.41,51185.11,1680.81,L1,
32,66266.77,51185.16,1680.87,L1,
33,66266.73,51185.49,1679.57,L1,
34,66265.43,51180.96,1681.31,L1,
35,66262.71,51180.04,1681.52,L1,
36,66261.39,51177.58,1681.62,L1,
37,66256.91,51176.27,1681.71,L1,
38,66255.48,51173.7,1681.98,L1,
39,66252.9,51173.34,1681.87,L1,
40,66251.18,51170.09,1682.15,L1,
41,66247.44,51169.42,1682.13,L1,
42,66245.44,51165.31,1682.42,L1,
43,66240.29,51164.36,1682.69,L1,
44,66237.55,51160.96,1682.69,L1,
45,66234.75,51160.56,1683.09,L1,
46,66231.7,51156.82,1683.07,L1,
47,66226.28,51154.8,1683.4,L1,
48,66227.28,51153.41,1683.35,L1,
49,66222.92,51151.14,1683.41,L1,
50,66221.03,51151.5,1683.39,L1,
51,66217.68,51148.1,1683.48,L1,
52,66213.36,51146.95,1683.41,L1,
53,66211.03,51144.15,1683.38,L1,
54,66203.76,51140.96,1683.12,L1,
55,66206.77,51141.78,1683.18,L1,
56,66198.84,51136.26,1683,L1,
57,66205.74,51138.17,1683.13,R1,
58,66211.21,51142.21,1683.37,R1,
59,66216.36,51143.89,1683.38,R1,
60,66220.32,51147.54,1683.46,R1,
61,66219.96,51145.67,1683.23,R1,
62,66227.57,51152.27,1683.35,R1,
63,66224.38,51148.54,1683.29,R1,
64,66233.85,51156.62,1683.02,R1,
65,66228.47,51151.4,1683.27,R1,
66,66232.65,51154.38,1683.24,R1,
67,66235.65,51156.08,1683.04,R1,
68,66238.79,51158.17,1682.85,R1,
69,66242.04,51161.43,1682.68,R1,
70,66244.33,51161.92,1682.59,R1,
71,66247.61,51165.77,1682.35,R1,
72,66248.23,51164.77,1682.36,R1,
73,66251.62,51167.99,1682.1,R1,
74,66255.14,51169.64,1682.29,R1,
75,66259.26,51173.36,1681.8,R1,
76,66262.87,51174.94,1681.66,R1,
77,66265.39,51178.49,1681.43,R1,
78,66267.74,51178.23,1681.49,R1,
79,66268.67,51180.95,1681.16,R1,
80,66270.46,51180.49,1681.2,R1,
81,66271.47,51182.98,1680.92,R1,
82,66272.38,51182.02,1681.05,R1,
83,66271.91,51185.72,1680.63,R1,
84,66273.12,51185.31,1680.68,R1,
85,66272.69,51188.42,1680.33,R1,
86,66274.6,51188.07,1680.4,R1,
87,66273.85,51191.43,1680.25,R1,
88,66274.48,51194.58,1680.3,R1,
89,66273.59,51196.79,1680.37,R1,
90,66270.78,51192.74,1680.22,R1,
91,66272.26,51191.3,1680.27,R1,
92,66196.99,51134.11,1683.06,ST2,
93,66203.12,51136.63,1683.07,R1,
